EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_WIND,INDIA,ER,JH,2026,0,0
EG_WIND,INDIA,ER,JH,2027,0,0
EG_WIND,INDIA,ER,JH,2028,0,0
EG_WIND,INDIA,ER,JH,2029,0,0
EG_WIND,INDIA,ER,JH,2030,0,0
EG_WIND,INDIA,ER,JH,2031,0,0
EG_WIND,INDIA,SR,KA,2021,0.12459198,0.122
EG_WIND,INDIA,SR,KA,2022,0.243750933,0.23868
EG_WIND,INDIA,SR,KA,2023,0.672000121,0.65802
EG_WIND,INDIA,SR,KA,2024,0.96576784,0.5967
EG_WIND,INDIA,SR,KA,2025,1.609613066,0
EG_WIND,INDIA,SR,KA,2026,2.253458292,0
EG_WIND,INDIA,SR,KA,2027,2.253458292,0
EG_WIND,INDIA,SR,KA,2028,2.253458292,0
EG_WIND,INDIA,SR,KA,2029,2.253458292,0
EG_WIND,INDIA,SR,KA,2030,2.253458292,0
EG_WIND,INDIA,SR,KA,2031,2.253458292,0
EG_WIND,INDIA,SR,KL,2021,0,0
EG_WIND,INDIA,SR,KL,2022,0.3,0.3
EG_WIND,INDIA,SR,KL,2023,0,0
EG_WIND,INDIA,SR,KL,2024,0.017976638,0
EG_WIND,INDIA,SR,KL,2025,0.029961063,0
EG_WIND,INDIA,SR,KL,2026,0.041945488,0
EG_WIND,INDIA,SR,KL,2027,0.041945488,0
EG_WIND,INDIA,SR,KL,2028,0.041945488,0
EG_WIND,INDIA,SR,KL,2029,0.041945488,0
EG_WIND,INDIA,SR,KL,2030,0.041945488,0
EG_WIND,INDIA,SR,KL,2031,0.041945488,0
EG_WIND,INDIA,WR,MP,2021,0,0
EG_WIND,INDIA,WR,MP,2022,0.049099567,0.0448
EG_WIND,INDIA,WR,MP,2023,0.402441093,0.3672
EG_WIND,INDIA,WR,MP,2024,0.212053223,0.212
EG_WIND,INDIA,WR,MP,2025,0.199705849,0
EG_WIND,INDIA,WR,MP,2026,0.279588188,0
EG_WIND,INDIA,WR,MP,2027,0.279588188,0
EG_WIND,INDIA,WR,MP,2028,0.279588188,0
EG_WIND,INDIA,WR,MP,2029,0.279588188,0
EG_WIND,INDIA,WR,MP,2030,0.279588188,0
EG_WIND,INDIA,WR,MP,2031,0.279588188,0
EG_WIND,INDIA,WR,MH,2021,0,0
EG_WIND,INDIA,WR,MH,2022,0.024637662,0.020854
EG_WIND,INDIA,WR,MH,2023,0.420214262,0.355681
EG_WIND,INDIA,WR,MH,2024,0.763972106,0.052135
EG_WIND,INDIA,WR,MH,2025,1.273286843,0
EG_WIND,INDIA,WR,MH,2026,1.782601581,0
EG_WIND,INDIA,WR,MH,2027,1.782601581,0
EG_WIND,INDIA,WR,MH,2028,1.782601581,0
EG_WIND,INDIA,WR,MH,2029,1.782601581,0
EG_WIND,INDIA,WR,MH,2030,1.782601581,0
EG_WIND,INDIA,WR,MH,2031,1.782601581,0
EG_WIND,INDIA,ER,OD,2021,0,0
EG_WIND,INDIA,ER,OD,2022,0,0
EG_WIND,INDIA,ER,OD,2023,0,0
EG_WIND,INDIA,ER,OD,2024,0.064921255,0
EG_WIND,INDIA,ER,OD,2025,0.108202091,0
EG_WIND,INDIA,ER,OD,2026,0.151482928,0
EG_WIND,INDIA,ER,OD,2027,0.151482928,0
EG_WIND,INDIA,ER,OD,2028,0.151482928,0
EG_WIND,INDIA,ER,OD,2029,0.151482928,0
EG_WIND,INDIA,ER,OD,2030,0.151482928,0
EG_WIND,INDIA,ER,OD,2031,0.151482928,0
EG_WIND,INDIA,NR,PB,2021,0,0
EG_WIND,INDIA,NR,PB,2022,0,0
EG_WIND,INDIA,NR,PB,2023,0,0
EG_WIND,INDIA,NR,PB,2024,0.002162486,0
EG_WIND,INDIA,NR,PB,2025,0.003604143,0
EG_WIND,INDIA,NR,PB,2026,0.005045801,0
EG_WIND,INDIA,NR,PB,2027,0.005045801,0
EG_WIND,INDIA,NR,PB,2028,0.005045801,0
EG_WIND,INDIA,NR,PB,2029,0.005045801,0
EG_WIND,INDIA,NR,PB,2030,0.005045801,0
EG_WIND,INDIA,NR,PB,2031,0.005045801,0
EG_WIND,INDIA,NR,RJ,2021,0.027659495,0.0271
EG_WIND,INDIA,NR,RJ,2022,0.002302576,0.002256
EG_WIND,INDIA,NR,RJ,2023,0.003453865,0.003384
EG_WIND,INDIA,NR,RJ,2024,0.993779035,0.00564
