Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,SR,KA,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.62542E-08
2024,RURAL,INDIA,SR,KA,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.08592E-08
2024,RURAL,INDIA,SR,KA,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.5769E-08
2024,RURAL,INDIA,SR,KA,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.59127E-08
2024,RURAL,INDIA,SR,KA,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.83902E-08
2024,RURAL,INDIA,SR,KA,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.18336E-08
2024,RURAL,INDIA,SR,KA,RES_COOL,AC,3STARAC,ELECTRICITY,7.00784E-08
2024,RURAL,INDIA,SR,KA,RES_COOL,AC,4STARAC,ELECTRICITY,6.19621E-08
2024,RURAL,INDIA,SR,KA,RES_COOL,AC,5STARAC,ELECTRICITY,5.82018E-08
2024,RURAL,INDIA,SR,KA,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.785E-07
2024,RURAL,INDIA,SR,KA,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.67708E-08
2024,RURAL,INDIA,SR,KA,RES_TV,TV,AVGTV,ELECTRICITY,1.11995E-08
2024,RURAL,INDIA,SR,KA,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,SR,KA,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,SR,KA,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,SR,KA,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,SR,KA,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,SR,KL,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,SR,KL,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18676E-08
2024,RURAL,INDIA,SR,KL,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,5.02527E-08
2024,RURAL,INDIA,SR,KL,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.46041E-08
2024,RURAL,INDIA,SR,KL,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.92231E-08
