ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,WR,MP,2019,39975
INDIA,WR,MP,2020,39975
INDIA,WR,MP,2021,39975
INDIA,WR,MP,2022,39975
INDIA,WR,MP,2023,39975
INDIA,WR,MP,2024,39975
INDIA,WR,MP,2025,39975
INDIA,WR,MP,2026,39975
INDIA,WR,MP,2027,39975
INDIA,WR,MP,2028,39975
INDIA,WR,MP,2029,39975
INDIA,WR,MP,2030,39975
INDIA,WR,MP,2031,39312.74829039804
INDIA,WR,MP,2032,38661.467871024244
INDIA,WR,MP,2033,38020.97698438742
INDIA,WR,MP,2034,37391.09688410855
INDIA,WR,MP,2035,36771.65178503679
INDIA,WR,MP,2036,36162.468814191794
INDIA,WR,MP,2037,35563.37796251885
INDIA,WR,MP,2038,34974.212037443205
INDIA,WR,MP,2039,34394.80661621047
INDIA,WR,MP,2040,33825.00000000001
INDIA,WR,MP,2041,33264.63316879835
